real,pred,conds,peaks
7.0,18.0,phon,first
9.0,22.5,phon,first
10.0,27.0,phon,first
1.5,6.0,phon,first
2.5,7.5,phon,first
3.0,9.0,phon,first
3.5,12.0,phon,first
9.0,15.0,phon,first
7.0,18.0,phon,first
8.0,18.0,phon,first
9.5,22.5,phon,first
9.0,27.0,phon,first
2.5,6.0,phon,first
3.0,7.5,phon,first
3.0,9.0,phon,first
5.5,12.0,phon,first
6.5,15.0,phon,first
7.5,18.0,phon,first
6.0,18.0,phon,first
6.5,22.5,phon,first
8.0,27.0,phon,first
2.5,6.0,phon,first
3.0,7.5,phon,first
3.0,9.0,phon,first
5.5,12.0,phon,first
6.0,15.0,phon,first
6.0,18.0,phon,first
8.0,18.0,phon,first
9.0,22.5,phon,first
8.5,27.0,phon,first
3.0,6.0,phon,first
3.0,7.5,phon,first
3.0,9.0,phon,first
5.0,12.0,phon,first
5.5,15.0,phon,first
6.0,18.0,phon,first
5.5,18.0,phon,first
10.0,22.5,phon,first
10.5,27.0,phon,first
3.0,6.0,phon,first
3.0,7.5,phon,first
3.0,9.0,phon,first
4.5,12.0,phon,first
6.0,15.0,phon,first
6.0,18.0,phon,first
7.0,18.0,phon,first
4.0,22.5,phon,first
8.0,27.0,phon,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
11.0,3.0,syll,second
5.5,3.0,syll,second
6.5,3.0,syll,second
15.5,6.0,syll,second
22.0,6.0,syll,second
18.5,6.0,syll,second
16.0,9.0,syll,second
16.0,9.0,syll,second
16.5,9.0,syll,second
13.0,3.0,syll,second
6.5,3.0,syll,second
10.0,3.0,syll,second
12.0,6.0,syll,second
19.5,6.0,syll,second
14.0,6.0,syll,second
16.0,9.0,syll,second
18.0,9.0,syll,second
20.5,9.0,syll,second
10.0,3.0,syll,second
8.0,3.0,syll,second
9.0,3.0,syll,second
12.5,6.0,syll,second
14.5,6.0,syll,second
13.0,6.0,syll,second
18.0,9.0,syll,second
21.0,9.0,syll,second
18.0,9.0,syll,second
6.5,3.0,syll,second
10.5,3.0,syll,second
8.5,3.0,syll,second
12.5,6.0,syll,second
15.5,6.0,syll,second
12.5,6.0,syll,second
19.0,9.0,syll,second
23.0,9.0,syll,second
17.5,9.0,syll,second
5.5,3.0,syll,second
5.5,3.0,syll,second
9.5,3.0,syll,second
13.0,6.0,syll,second
11.0,6.0,syll,second
19.0,6.0,syll,second
17.5,9.0,syll,second
15.5,9.0,syll,second
17.5,9.0,syll,second
13.5,3.0,syll,second
6.0,3.0,syll,second
6.5,3.0,syll,second
10.5,6.0,syll,second
14.0,6.0,syll,second
12.5,6.0,syll,second
12.5,9.0,syll,second
21.0,9.0,syll,second
23.5,9.0,syll,second
5.0,3.0,syll,second
10.0,3.0,syll,second
7.0,3.0,syll,second
9.5,6.0,syll,second
9.0,6.0,syll,second
11.5,6.0,syll,second
12.0,9.0,syll,second
17.0,9.0,syll,second
14.5,9.0,syll,second
11.5,3.0,syll,second
6.5,3.0,syll,second
8.5,3.0,syll,second
11.0,6.0,syll,second
18.5,6.0,syll,second
12.5,6.0,syll,second
16.0,9.0,syll,second
19.5,9.0,syll,second
19.0,9.0,syll,second
6.0,3.0,syll,second
5.5,3.0,syll,second
7.5,3.0,syll,second
12.5,6.0,syll,second
12.5,6.0,syll,second
11.0,6.0,syll,second
19.0,9.0,syll,second
16.5,9.0,syll,second
20.5,9.0,syll,second
7.0,3.0,syll,second
9.0,3.0,syll,second
8.5,3.0,syll,second
16.0,6.0,syll,second
11.5,6.0,syll,second
11.5,6.0,syll,second
11.0,9.0,syll,second
33.5,9.0,syll,second
25.5,9.0,syll,second
8.0,3.0,syll,second
7.5,3.0,syll,second
9.0,3.0,syll,second
9.5,6.0,syll,second
12.5,6.0,syll,second
13.0,6.0,syll,second
13.0,9.0,syll,second
16.0,9.0,syll,second
21.5,9.0,syll,second
11.0,6.0,phon,second
5.5,7.5,phon,second
6.5,9.0,phon,second
15.5,12.0,phon,second
22.0,15.0,phon,second
18.5,18.0,phon,second
16.0,18.0,phon,second
16.0,22.5,phon,second
16.5,27.0,phon,second
13.0,6.0,phon,second
6.5,7.5,phon,second
10.0,9.0,phon,second
12.0,12.0,phon,second
19.5,15.0,phon,second
14.0,18.0,phon,second
16.0,18.0,phon,second
18.0,22.5,phon,second
20.5,27.0,phon,second
10.0,6.0,phon,second
8.0,7.5,phon,second
9.0,9.0,phon,second
12.5,12.0,phon,second
14.5,15.0,phon,second
13.0,18.0,phon,second
18.0,18.0,phon,second
21.0,22.5,phon,second
18.0,27.0,phon,second
6.5,6.0,phon,second
10.5,7.5,phon,second
8.5,9.0,phon,second
12.5,12.0,phon,second
15.5,15.0,phon,second
12.5,18.0,phon,second
19.0,18.0,phon,second
23.0,22.5,phon,second
17.5,27.0,phon,second
5.5,6.0,phon,second
5.5,7.5,phon,second
9.5,9.0,phon,second
13.0,12.0,phon,second
11.0,15.0,phon,second
19.0,18.0,phon,second
17.5,18.0,phon,second
15.5,22.5,phon,second
17.5,27.0,phon,second
13.5,6.0,phon,second
6.0,7.5,phon,second
6.5,9.0,phon,second
10.5,12.0,phon,second
14.0,15.0,phon,second
12.5,18.0,phon,second
12.5,18.0,phon,second
21.0,22.5,phon,second
23.5,27.0,phon,second
5.0,6.0,phon,second
10.0,7.5,phon,second
7.0,9.0,phon,second
9.5,12.0,phon,second
9.0,15.0,phon,second
11.5,18.0,phon,second
12.0,18.0,phon,second
17.0,22.5,phon,second
14.5,27.0,phon,second
11.5,6.0,phon,second
6.5,7.5,phon,second
8.5,9.0,phon,second
11.0,12.0,phon,second
18.5,15.0,phon,second
12.5,18.0,phon,second
16.0,18.0,phon,second
19.5,22.5,phon,second
19.0,27.0,phon,second
6.0,6.0,phon,second
5.5,7.5,phon,second
7.5,9.0,phon,second
12.5,12.0,phon,second
12.5,15.0,phon,second
11.0,18.0,phon,second
19.0,18.0,phon,second
16.5,22.5,phon,second
20.5,27.0,phon,second
7.0,6.0,phon,second
9.0,7.5,phon,second
8.5,9.0,phon,second
16.0,12.0,phon,second
11.5,15.0,phon,second
11.5,18.0,phon,second
11.0,18.0,phon,second
33.5,22.5,phon,second
25.5,27.0,phon,second
8.0,6.0,phon,second
7.5,7.5,phon,second
9.0,9.0,phon,second
9.5,12.0,phon,second
12.5,15.0,phon,second
13.0,18.0,phon,second
13.0,18.0,phon,second
16.0,22.5,phon,second
21.5,27.0,phon,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
