real,pred,conds,peaks
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
6.0,3.0,syll,second
6.0,3.0,syll,second
8.5,3.0,syll,second
13.0,6.0,syll,second
11.5,6.0,syll,second
11.5,6.0,syll,second
14.5,9.0,syll,second
18.5,9.0,syll,second
19.0,9.0,syll,second
6.0,3.0,syll,second
9.0,3.0,syll,second
9.0,3.0,syll,second
18.0,6.0,syll,second
12.0,6.0,syll,second
13.0,6.0,syll,second
19.0,9.0,syll,second
20.0,9.0,syll,second
18.5,9.0,syll,second
7.0,3.0,syll,second
6.0,3.0,syll,second
10.0,3.0,syll,second
12.5,6.0,syll,second
12.0,6.0,syll,second
12.5,6.0,syll,second
20.0,9.0,syll,second
19.0,9.0,syll,second
18.5,9.0,syll,second
9.5,3.0,syll,second
6.0,3.0,syll,second
20.0,3.0,syll,second
12.0,6.0,syll,second
12.0,6.0,syll,second
23.0,6.0,syll,second
20.0,9.0,syll,second
17.5,9.0,syll,second
21.0,9.0,syll,second
6.0,3.0,syll,second
6.5,3.0,syll,second
10.5,3.0,syll,second
13.0,6.0,syll,second
12.5,6.0,syll,second
12.5,6.0,syll,second
18.5,9.0,syll,second
27.0,9.0,syll,second
17.0,9.0,syll,second
6.0,3.0,syll,second
6.0,3.0,syll,second
9.0,3.0,syll,second
10.5,6.0,syll,second
12.5,6.0,syll,second
10.5,6.0,syll,second
14.5,9.0,syll,second
19.0,9.0,syll,second
18.5,9.0,syll,second
10.0,3.0,syll,second
7.0,3.0,syll,second
9.5,3.0,syll,second
10.0,6.0,syll,second
10.5,6.0,syll,second
12.5,6.0,syll,second
10.5,9.0,syll,second
24.5,9.0,syll,second
16.0,9.0,syll,second
6.0,3.0,syll,second
6.0,3.0,syll,second
15.0,3.0,syll,second
11.5,6.0,syll,second
12.5,6.0,syll,second
13.5,6.0,syll,second
20.0,9.0,syll,second
27.0,9.0,syll,second
23.0,9.0,syll,second
6.0,3.0,syll,second
6.0,3.0,syll,second
9.0,3.0,syll,second
13.0,6.0,syll,second
13.0,6.0,syll,second
13.0,6.0,syll,second
20.0,9.0,syll,second
18.0,9.0,syll,second
25.5,9.0,syll,second
6.5,3.0,syll,second
6.0,3.0,syll,second
10.0,3.0,syll,second
13.0,6.0,syll,second
11.0,6.0,syll,second
11.5,6.0,syll,second
19.5,9.0,syll,second
22.0,9.0,syll,second
18.5,9.0,syll,second
9.5,3.0,syll,second
9.5,3.0,syll,second
6.5,3.0,syll,second
32.5,6.0,syll,second
23.0,6.0,syll,second
19.0,6.0,syll,second
19.0,9.0,syll,second
37.0,9.0,syll,second
22.5,9.0,syll,second
6.0,6.0,phon,second
6.0,7.5,phon,second
8.5,9.0,phon,second
13.0,12.0,phon,second
11.5,15.0,phon,second
11.5,18.0,phon,second
14.5,18.0,phon,second
18.5,22.5,phon,second
19.0,27.0,phon,second
6.0,6.0,phon,second
9.0,7.5,phon,second
9.0,9.0,phon,second
18.0,12.0,phon,second
12.0,15.0,phon,second
13.0,18.0,phon,second
19.0,18.0,phon,second
20.0,22.5,phon,second
18.5,27.0,phon,second
7.0,6.0,phon,second
6.0,7.5,phon,second
10.0,9.0,phon,second
12.5,12.0,phon,second
12.0,15.0,phon,second
12.5,18.0,phon,second
20.0,18.0,phon,second
19.0,22.5,phon,second
18.5,27.0,phon,second
9.5,6.0,phon,second
6.0,7.5,phon,second
20.0,9.0,phon,second
12.0,12.0,phon,second
12.0,15.0,phon,second
23.0,18.0,phon,second
20.0,18.0,phon,second
17.5,22.5,phon,second
21.0,27.0,phon,second
6.0,6.0,phon,second
6.5,7.5,phon,second
10.5,9.0,phon,second
13.0,12.0,phon,second
12.5,15.0,phon,second
12.5,18.0,phon,second
18.5,18.0,phon,second
27.0,22.5,phon,second
17.0,27.0,phon,second
6.0,6.0,phon,second
6.0,7.5,phon,second
9.0,9.0,phon,second
10.5,12.0,phon,second
12.5,15.0,phon,second
10.5,18.0,phon,second
14.5,18.0,phon,second
19.0,22.5,phon,second
18.5,27.0,phon,second
10.0,6.0,phon,second
7.0,7.5,phon,second
9.5,9.0,phon,second
10.0,12.0,phon,second
10.5,15.0,phon,second
12.5,18.0,phon,second
10.5,18.0,phon,second
24.5,22.5,phon,second
16.0,27.0,phon,second
6.0,6.0,phon,second
6.0,7.5,phon,second
15.0,9.0,phon,second
11.5,12.0,phon,second
12.5,15.0,phon,second
13.5,18.0,phon,second
20.0,18.0,phon,second
27.0,22.5,phon,second
23.0,27.0,phon,second
6.0,6.0,phon,second
6.0,7.5,phon,second
9.0,9.0,phon,second
13.0,12.0,phon,second
13.0,15.0,phon,second
13.0,18.0,phon,second
20.0,18.0,phon,second
18.0,22.5,phon,second
25.5,27.0,phon,second
6.5,6.0,phon,second
6.0,7.5,phon,second
10.0,9.0,phon,second
13.0,12.0,phon,second
11.0,15.0,phon,second
11.5,18.0,phon,second
19.5,18.0,phon,second
22.0,22.5,phon,second
18.5,27.0,phon,second
9.5,6.0,phon,second
9.5,7.5,phon,second
6.5,9.0,phon,second
32.5,12.0,phon,second
23.0,15.0,phon,second
19.0,18.0,phon,second
19.0,18.0,phon,second
37.0,22.5,phon,second
22.5,27.0,phon,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
